id,title,description,min_level,section,image,section_image
1,Concurrency Models Comparison,"Threading, multiprocessing, and asyncio — what each one actually is.",1,Core Fundamentals & GIL,unit1.png,
2,Workload Types (I/O-Bound vs. CPU-Bound),"Telling apart what's actually slowing your program down, and picking the right fix.",1,Core Fundamentals & GIL,unit2.png,
3,Global Interpreter Lock (GIL) Mechanics,"What the GIL actually is, and why CPython has one.",1,Core Fundamentals & GIL,unit3.png,
4,GIL Impact on Workloads,Why the GIL kills CPU parallelism but barely matters for I/O-bound work.,1,Core Fundamentals & GIL,unit4.png,
5,Circumventing & Modern Evolution of the GIL,"How to get real parallelism today, and where CPython is headed.",1,Core Fundamentals & GIL,unit5.png,
6,Creating & Managing Threads,"Instantiating, configuring, and starting threads with threading.Thread.",1,Low-Level Threading,unit6.png,
7,Thread Execution Synchronization (join),Waiting for worker threads to finish with .join().,1,Low-Level Threading,unit7.png,
8,Main vs. Worker vs. Daemon Threads,"Thread lifecycles, background execution, and process exit behavior.",1,Low-Level Threading,unit8.png,
9,Thread Metadata & Identity,"Identifying, naming, and debugging threads.",1,Low-Level Threading,unit9.png,
10,Thread Communication & Return Values,"Passing arguments in, and safely getting results and exceptions back out.",1,Low-Level Threading,unit10.png,
11,Race Conditions & Critical Sections,How unsynchronized shared state leads to data corruption and non-deterministic bugs.,1,Thread Synchronization & Safety,unit11.png,
12,Mutual Exclusion (threading.Lock),"Protecting critical sections with acquire(), release(), and context managers.",1,Thread Synchronization & Safety,unit12.png,
13,Reentrant Locking (threading.RLock),Allowing recursive lock acquisition within the same thread.,1,Thread Synchronization & Safety,unit13.png,
14,Deadlocks & Lock Ordering,Identifying deadlock conditions and preventing them with ordering and timeouts.,1,Thread Synchronization & Safety,unit14.png,
15,Atomic Operations & Built-in Thread Safety,"Which Python operations are safe without a lock, and which aren't.",1,Thread Synchronization & Safety,unit15.png,
16,Event Signaling (threading.Event),"Flag-based signaling between threads using set(), clear(), and wait().",1,Advanced Thread Coordination,unit16.png,
17,Conditional Synchronization (threading.Condition),"Complex state-change notification between threads using wait(), notify(), and notify_all().",1,Advanced Thread Coordination,unit17.png,
18,Resource Throttling (threading.Semaphore),Controlling concurrent access limits using standard and bounded semaphores.,1,Advanced Thread Coordination,unit18.png,
19,Delayed Execution (threading.Timer),Scheduling deferred function execution on a separate background thread.,1,Advanced Thread Coordination,unit19.png,
20,Thread-Local Storage (threading.local),Isolating per-thread state without shared global variables or locks.,1,Advanced Thread Coordination,unit20.png,
21,Process Creation & Execution,Spawning independent OS processes with multiprocessing.Process.,1,Multi-Processing Fundamentals,unit21.png,
22,Memory Isolation: Threads vs. Processes,"Memory layout, copy-on-write semantics, and the overhead of separate processes.",1,Multi-Processing Fundamentals,unit22.png,
23,"Process Start Methods (fork, spawn, forkserver)","How processes actually get created, and how that differs by platform.",1,Multi-Processing Fundamentals,unit23.png,
