term,definition,link,introduced_by_card_id
concurrency,"Structuring a program so multiple tasks can each make progress over the same stretch of time, whether or not they're literally running at the exact same instant -- one CPU core switching back and forth between two tasks still counts as concurrent.",https://en.wikipedia.org/wiki/Concurrency_(computer_science),1
parallelism,"Actually running multiple tasks at the exact same instant, which requires at least two CPU cores -- a stricter, physical version of concurrency, not just another word for the same thing.",,8
I/O-bound,"Describes a program whose speed is limited by waiting on something outside the CPU -- disk, network, a database -- rather than by how fast it can compute. More threads or async tasks help here, since most of the time is spent waiting, not calculating.",,22
CPU-bound,Describes a program whose speed is limited by raw computation -- the CPU is constantly busy crunching numbers rather than waiting on anything external. Only real parallel execution across separate cores actually speeds this up.,,28
GIL,"Short for Global Interpreter Lock: a mutex inside CPython that only lets one thread execute Python bytecode at a time, even on a multi-core machine. It exists to keep memory management (reference counting) safe without needing a separate lock around every single variable.",https://docs.python.org/3/glossary.html#term-global-interpreter-lock,35
mutex,"The general operating-system term for a lock that only lets one thread hold it at a time (""mutual exclusion""). Python's threading.Lock and the GIL itself are both examples of a mutex.",https://en.wikipedia.org/wiki/Lock_(computer_science),35
reference counting,"CPython's way of tracking when to free an object's memory: every object carries a count of how many things currently reference it, and it gets deleted once that count hits zero. This counter needs protecting from simultaneous updates, which is a big reason the GIL exists.",,35
bytecode,The lower-level instruction set that Python source code (.py) gets compiled into before the interpreter actually runs it -- the GIL protects execution one bytecode instruction at a time.,,35
switch interval,"The timer that controls how often CPython considers handing the GIL to a different waiting thread, even during a pure CPU-bound loop -- tunable via sys.setswitchinterval().",,53
C extension,"Code written in C (not Python) that CPython can call into, like the core of NumPy or pandas. A C extension can choose to release the GIL while it does heavy computation, letting other threads run in the meantime.",,60
free-threaded Python,"A build of CPython, defined by PEP 703, that can run without the GIL at all, letting threads get real multi-core parallelism for pure Python code. Officially supported starting in Python 3.14, but still opt-in, and marked by a 't' suffix like python3.14t.",https://peps.python.org/pep-0703/,1793
threading.Thread,"The standard-library class for creating a new thread: give it a target function (plus optional args/kwargs), then call .start() to actually begin running it concurrently.",https://docs.python.org/3/library/threading.html#thread-objects,59
daemon thread,"A thread marked daemon=True that Python kills automatically the instant the main program exits, even if it's still mid-task -- good for background work like logging, bad for anything that must finish, like a critical write.",,97
main thread,The thread that automatically runs your script's top-level code when the program starts. By default the whole process stays alive until the main thread and every non-daemon thread it started have finished.,,104
"fan-out, fan-in","A concurrency pattern: start (""fan out to"") a whole batch of threads or tasks at once, then wait (""fan in"") for all of them to finish -- as opposed to starting and immediately joining each one in turn, which would just run them sequentially instead of overlapping.",,91
race condition,"A bug where the outcome depends on the unpredictable order or timing of multiple threads touching the same shared data -- e.g. two threads both reading, then both writing, an incremented counter, with one update silently getting lost.",https://en.wikipedia.org/wiki/Race_condition,134
critical section,"The specific block of code that touches shared, mutable data and therefore must not run on two threads at the same time -- everything else around it can safely run concurrently.",,140
read-modify-write,"The pattern behind most race conditions: read a value, compute a new one from it, then write it back -- three separate steps another thread can sneak in between. counter += 1 is actually this, not one atomic step.",,134
threading.Lock,"A mutex you create with threading.Lock() -- only one thread can acquire() it at a time, so wrapping shared-data access in it (ideally via 'with lock:') stops two threads from touching that data simultaneously.",https://docs.python.org/3/library/threading.html#lock-objects,146
threading.RLock,"A 'reentrant' lock -- unlike a plain Lock, the same thread can safely acquire it more than once (e.g. inside a recursive function) without deadlocking itself, as long as it releases it the same number of times it acquired it.",https://docs.python.org/3/library/threading.html#rlock-objects,158
deadlock,"A situation where two or more threads are each stuck waiting on a lock the other one is holding, so none of them can ever proceed -- the program just hangs forever, using no CPU.",https://en.wikipedia.org/wiki/Deadlock,164
livelock,"Like a deadlock, except the threads involved aren't frozen -- they're actively busy, repeatedly reacting to each other's state changes, but the pattern just repeats forever and none of them ever make real progress. E.g. two threads each politely 'stepping aside' to let the other go first, over and over, like two people in a hallway who keep dodging the same way and never get past each other.",https://en.wikipedia.org/wiki/Deadlock#Livelock,138
lock ordering,"The standard way to prevent deadlocks when a program uses multiple locks: always have every thread acquire them in the same fixed global order, which makes the circular 'each waiting on the other' situation impossible.",,170
atomic,"Describes an operation that completes as one indivisible step -- no other thread can ever observe it half-done. list.append() is effectively atomic in CPython thanks to the GIL, but counter += 1 is not, since it's really three separate steps.",,176
